"Time (s)","Pressure (hPa)"
3.011269540E2,9.156610870E2
3.021275260E2,9.159407043E2
3.031281050E2,9.162142944E2
3.041286820E2,9.164746857E2
3.051292570E2,9.167508698E2
3.061298330E2,9.170325470E2
3.071304070E2,9.173096466E2
3.081309850E2,9.175846100E2
3.091315630E2,9.178641510E2
3.101321370E2,9.181347656E2
3.111327140E2,9.184065247E2
3.121336730E2,9.186738586E2
3.131338650E2,9.189475250E2
3.141344430E2,9.192208099E2
3.151350170E2,9.195010376E2
3.161355950E2,9.197669983E2
3.171361730E2,9.200289917E2
3.181367490E2,9.202956390E2
3.191373240E2,9.205672455E2
3.201378980E2,9.208363342E2
3.211384810E2,9.210978699E2
3.221392370E2,9.213639832E2
3.231396300E2,9.216273499E2
3.241402100E2,9.218865967E2
3.251407840E2,9.221492767E2
3.261413590E2,9.224131775E2
3.271419330E2,9.226755524E2
3.281425100E2,9.229272461E2
3.291430860E2,9.231876373E2
3.301436610E2,9.234453583E2
3.311442390E2,9.237238312E2
3.321450810E2,9.240094757E2
3.331453900E2,9.243048096E2
3.341459690E2,9.245820618E2
3.351465440E2,9.248619080E2
3.361471210E2,9.251296234E2
3.371476980E2,9.254033661E2
3.381482740E2,9.256792450E2
3.391488510E2,9.259605408E2
3.401494280E2,9.262364960E2
3.411500030E2,9.265077209E2
3.421505800E2,9.267752075E2
3.431511520E2,9.270455933E2
3.441517300E2,9.273129272E2
3.451523090E2,9.275833893E2
3.461528810E2,9.278485107E2
3.471534620E2,9.281027985E2
3.481540340E2,9.283573151E2
3.491546100E2,9.286247253E2
3.501551880E2,9.289012909E2
3.511557630E2,9.291842651E2
3.521563420E2,9.294770050E2
3.531569160E2,9.297622681E2
3.541574920E2,9.300424194E2
3.551580720E2,9.303176117E2
3.561586500E2,9.305907440E2
3.571592220E2,9.308650208E2
3.581599630E2,9.311408997E2
3.591603770E2,9.314202881E2
3.601609550E2,9.316957855E2
3.611615290E2,9.319793701E2
3.621621040E2,9.322689056E2
3.631626810E2,9.325607300E2
3.641632540E2,9.328382874E2
3.651638340E2,9.331140900E2
3.661644080E2,9.333729553E2
3.671649860E2,9.336327362E2
3.681655630E2,9.338937378E2
3.691661430E2,9.341651154E2
3.701667160E2,9.344369507E2
3.711673220E2,9.347198486E2
3.721678670E2,9.350035858E2
3.731684440E2,9.352960968E2
3.741690190E2,9.355852509E2
3.751695950E2,9.358721161E2
3.761701720E2,9.361614990E2
3.771707520E2,9.364453888E2
3.781713260E2,9.367250061E2
3.791719010E2,9.370027924E2
3.801724770E2,9.372839355E2
3.811730510E2,9.375637054E2
3.821736300E2,9.378490448E2
3.831742060E2,9.381342316E2
3.841747920E2,9.384061432E2
3.851753600E2,9.386799622E2
3.861759360E2,9.389559937E2
3.871765130E2,9.392301941E2
3.881770870E2,9.394992065E2
3.891776650E2,9.397856140E2
3.901782420E2,9.400701904E2
3.911788170E2,9.403527832E2
3.921793950E2,9.406306458E2
3.931799700E2,9.409097290E2
3.941808390E2,9.411837006E2
3.951811220E2,9.414528656E2
3.961816980E2,9.417251587E2
3.971822760E2,9.420095825E2
3.981828520E2,9.422956085E2
3.991834280E2,9.425814819E2
4.001840020E2,9.428739166E2
4.011845770E2,9.431679535E2
4.021851520E2,9.434557343E2
4.031857290E2,9.437293243E2
4.041863070E2,9.439973450E2
4.051868860E2,9.442623138E2
4.061874590E2,9.445381165E2
4.071880370E2,9.448093414E2
4.081886140E2,9.450950623E2
4.091891880E2,9.453926086E2
4.101897680E2,9.456935883E2
4.111903450E2,9.459831238E2
4.121909150E2,9.462682343E2
4.131914930E2,9.465579224E2
4.141920710E2,9.468453217E2
4.151926470E2,9.471244812E2
4.161932210E2,9.473836517E2
4.171938000E2,9.476362610E2
4.181943760E2,9.478950500E2
4.191949500E2,9.481526184E2
4.201955280E2,9.484279633E2
4.211961040E2,9.487232208E2
4.221966790E2,9.490263367E2
4.231972580E2,9.493181610E2
4.241978340E2,9.496049500E2
4.251984100E2,9.498757935E2
4.261989860E2,9.501492310E2
4.271995620E2,9.504181671E2
4.282001400E2,9.506893158E2
4.292007160E2,9.509636688E2
4.302012930E2,9.512474823E2
4.312018720E2,9.515238953E2
4.322024420E2,9.518147278E2
4.332030200E2,9.520996094E2
4.342035960E2,9.523866272E2
4.352041750E2,9.526495361E2
4.362047500E2,9.529135895E2
4.372053340E2,9.531769562E2
4.382059040E2,9.534474182E2
4.392064800E2,9.537196350E2
4.402070550E2,9.539993286E2
4.412076320E2,9.542879486E2
4.422082090E2,9.545656586E2
4.432087840E2,9.548464203E2
4.442093620E2,9.551294708E2
4.452099370E2,9.554175568E2
4.462105120E2,9.556995392E2
4.472110890E2,9.559826660E2
4.482116650E2,9.562622833E2
4.492122420E2,9.565402222E2
4.502128200E2,9.568165588E2
4.512133930E2,9.570951080E2
4.522139710E2,9.573719788E2
4.532145460E2,9.576515961E2
4.542151220E2,9.579280090E2
4.552157050E2,9.581990814E2
4.562162770E2,9.584761810E2
4.572168530E2,9.587511444E2
4.582174260E2,9.590262604E2
4.592180050E2,9.592996216E2
4.602185830E2,9.595794678E2
4.612191600E2,9.598603821E2
4.622197330E2,9.601390839E2
4.632203090E2,9.604213715E2
4.642208860E2,9.607012177E2
4.652214660E2,9.609848785E2
4.662220410E2,9.612602234E2
4.672226170E2,9.615498352E2
4.682231930E2,9.618469238E2
4.692237690E2,9.621363831E2
4.702247490E2,9.624186707E2
4.712249190E2,9.627011108E2
4.722254950E2,9.629785919E2
4.732260730E2,9.632435608E2
4.742266490E2,9.635076904E2
4.752272270E2,9.637747192E2
4.762278020E2,9.640392303E2
4.772283780E2,9.643027496E2
4.782289540E2,9.645651245E2
4.792295310E2,9.648377991E2
4.802301060E2,9.651165009E2
4.812306820E2,9.653998566E2
4.822312620E2,9.656753540E2
4.832319160E2,9.659549713E2
4.842324170E2,9.662245178E2
4.852329890E2,9.664953613E2
4.862335660E2,9.667651367E2
4.872341420E2,9.670379639E2
4.882347190E2,9.673051453E2
4.892352940E2,9.675755310E2
4.902358750E2,9.678448486E2
4.912364470E2,9.681089783E2
4.922370260E2,9.683811951E2
4.932376000E2,9.686586761E2
4.942381760E2,9.689395905E2
4.952387530E2,9.692176056E2
4.962393300E2,9.694882965E2
4.972399060E2,9.697595215E2
4.982404820E2,9.700333405E2
4.992410590E2,9.703057861E2
5.002416360E2,9.705773163E2
5.012422110E2,9.708583069E2
5.022427850E2,9.711370850E2
5.032433620E2,9.714057922E2
5.042439370E2,9.716844177E2
5.052445130E2,9.719623566E2
5.062453910E2,9.722382355E2
5.072456660E2,9.725086212E2
5.082462450E2,9.727809143E2
5.092468240E2,9.730503082E2
5.102473990E2,9.733220673E2
5.112479700E2,9.735933685E2
5.122485520E2,9.738665771E2
5.132491270E2,9.741405487E2
5.142497030E2,9.744102478E2
5.152502800E2,9.746743774E2
5.162508600E2,9.749486542E2
5.172514330E2,9.752275085E2
5.182520090E2,9.755051422E2
5.192525870E2,9.757798004E2
5.202531630E2,9.760549927E2
