"Time (s)","Pressure (hPa)"
1.019585023E1,8.792717285E2
1.022091997E1,8.792412109E2
1.024599293E1,8.792259521E2
1.027106141E1,8.792473145E2
1.029613551E1,8.792686768E2
1.032120501E1,8.792656250E2
1.034627878E1,8.792503662E2
1.037134803E1,8.792808838E2
1.039642474E1,8.793327637E2
1.042151250E1,8.793388672E2
1.044656251E1,8.793083496E2
1.047163185E1,8.792869873E2
1.049668756E1,8.793022461E2
1.052177272E1,8.793299561E2
1.054683071E1,8.793543701E2
1.057191656E1,8.793543701E2
1.059698883E1,8.793391113E2
1.062206231E1,8.793208008E2
1.064713409E1,8.793116455E2
1.067220624E1,8.793146973E2
1.069727879E1,8.793269043E2
1.072235333E1,8.793513184E2
1.074742214E1,8.793452148E2
1.077247919E1,8.793330078E2
1.079756562E1,8.793421631E2
1.082264431E1,8.793757324E2
1.084774510E1,8.794031982E2
1.087277920E1,8.794154053E2
1.089786595E1,8.794093018E2
1.092293875E1,8.794154053E2
1.094801272E1,8.794337158E2
1.097308800E1,8.794215088E2
1.099814794E1,8.793942871E2
1.102322126E1,8.793973389E2
1.104829536E1,8.794370117E2
1.107338602E1,8.794644775E2
1.109844433E1,8.794522705E2
1.112353258E1,8.794400635E2
1.114858556E1,8.794339600E2
1.117368501E1,8.794309082E2
1.119875284E1,8.794400635E2
1.122382820E1,8.794522705E2
1.124889705E1,8.794736328E2
1.127397212E1,8.794888916E2
1.129904317E1,8.794766846E2
1.132410290E1,8.794492188E2
1.134919144E1,8.794370117E2
1.137426489E1,8.794461670E2
1.139933907E1,8.794827881E2
1.142441528E1,8.794980469E2
1.144947249E1,8.794888916E2
1.147456120E1,8.794733887E2
1.149963265E1,8.794825439E2
1.152469295E1,8.794978027E2
1.154977918E1,8.794703369E2
1.157485331E1,8.794459229E2
1.159992180E1,8.794886475E2
1.162499833E1,8.795435791E2
1.165007007E1,8.795405273E2
1.167514478E1,8.795222168E2
1.170021672E1,8.795374756E2
1.172529175E1,8.795527344E2
1.175036418E1,8.795283203E2
1.177544792E1,8.795252686E2
1.180050936E1,8.795588379E2
1.182558416E1,8.795679932E2
1.185066090E1,8.795344238E2
1.187573959E1,8.795283203E2
1.190080665E1,8.795466309E2
1.192588197E1,8.795527344E2
1.195095338E1,8.795524902E2
1.197602980E1,8.795708008E2
1.200110080E1,8.795830078E2
1.202617828E1,8.796104736E2
1.205124916E1,8.796409912E2
1.207632672E1,8.796318359E2
1.210143951E1,8.795921631E2
1.212649684E1,8.796043701E2
1.215153037E1,8.796348877E2
1.217662306E1,8.796287842E2
1.220169407E1,8.796104736E2
1.222677765E1,8.796257324E2
1.225184190E1,8.796379395E2
1.227693776E1,8.796287842E2
1.230198529E1,8.796318359E2
1.232705735E1,8.796379395E2
1.235213930E1,8.796348877E2
1.237722626E1,8.796196289E2
1.240227956E1,8.796074219E2
1.242737283E1,8.796076660E2
1.245244737E1,8.796412354E2
1.247751679E1,8.796595459E2
1.250259255E1,8.796412354E2
1.252764968E1,8.796259766E2
1.255273924E1,8.796595459E2
1.257781131E1,8.796992188E2
1.260288137E1,8.797053223E2
1.262795816E1,8.796992188E2
1.265298424E1,8.797175293E2
1.267806692E1,8.797327881E2
1.270313947E1,8.797175293E2
1.272821443E1,8.796900635E2
1.275328804E1,8.796961670E2
1.277837971E1,8.797205811E2
1.280343367E1,8.797297363E2
1.282854768E1,8.797236328E2
1.285359207E1,8.797266846E2
1.287869551E1,8.797419434E2
1.290374772E1,8.797574463E2
1.292883968E1,8.797604980E2
1.295391548E1,8.797482910E2
1.297894039E1,8.797543945E2
1.300406197E1,8.797666016E2
1.302914140E1,8.797818604E2
1.305420532E1,8.797788086E2
1.307928890E1,8.797666016E2
1.310435079E1,8.797727051E2
1.312940601E1,8.798032227E2
1.315447742E1,8.798062744E2
1.317957263E1,8.797635498E2
1.320464681E1,8.797421875E2
1.322971843E1,8.797757568E2
1.325479309E1,8.798032227E2
1.327984648E1,8.797971191E2
1.330494019E1,8.798154297E2
1.333001579E1,8.798337402E2
1.335507093E1,8.798215332E2
1.338016769E1,8.797971191E2
1.340524171E1,8.798215332E2
1.343031409E1,8.798612061E2
1.345539165E1,8.798642578E2
1.348044512E1,8.798642578E2
1.350555307E1,8.798734131E2
1.353059470E1,8.798703613E2
1.355568568E1,8.798551025E2
1.358074008E1,8.798551025E2
1.360583273E1,8.798612061E2
1.363086826E1,8.798642578E2
1.365592494E1,8.798612061E2
1.368106418E1,8.798612061E2
1.370612697E1,8.798459473E2
1.373120135E1,8.798367920E2
1.375627126E1,8.798642578E2
1.378134633E1,8.799191895E2
1.380641652E1,8.799313965E2
1.383149184E1,8.798978271E2
1.385654238E1,8.798973389E2
1.388163397E1,8.799278564E2
1.390670941E1,8.799278564E2
1.393177980E1,8.799125977E2
1.395685260E1,8.799309082E2
1.398192702E1,8.799553223E2
1.400699730E1,8.799461670E2
1.403206903E1,8.799278564E2
1.405714516E1,8.799248047E2
1.408222044E1,8.799278564E2
1.410729275E1,8.799492188E2
1.413236318E1,8.799766846E2
1.415741128E1,8.799766846E2
1.418251231E1,8.799522705E2
1.420758527E1,8.799492188E2
1.423265799E1,8.799766846E2
1.425772960E1,8.799949951E2
1.428278278E1,8.799675293E2
1.430787462E1,8.799583740E2
1.433294571E1,8.799891357E2
1.435802253E1,8.800166016E2
1.438309451E1,8.800135498E2
1.440816963E1,8.799952393E2
1.443324442E1,8.799738770E2
1.445831493E1,8.799799805E2
1.448333939E1,8.800135498E2
1.450849609E1,8.800318604E2
1.453353747E1,8.800074463E2
